course_id,course_division,department,slot_letter,slot_day,room
CH212,NA,CH,A,Tuesday,4103
CH212,NA,CH,A,Wednesday,4103
CH212,NA,CH,A,Thursday,4103
CH222,NA,CH,B,Monday,4103
CH222,NA,CH,B,Tuesday,4103
CH222,NA,CH,B,Wednesday,4103
CH232,NA,CH,C,Monday,4103
CH232,NA,CH,C,Tuesday,4103
CH232,NA,CH,C,Friday,4103
CH233,NA,CH,D,Monday,4103
CH233,NA,CH,D,Thursday,4103
CH233,NA,CH,D,Friday,4103
CH322,NA,CH,D1,Monday,4103
CH322,NA,CH,D1,Thursday,4103
CH322,NA,CH,D1,Friday,4103
CH323,NA,CH,A1,Tuesday,4103
CH323,NA,CH,A1,Wednesday,4103
CH323,NA,CH,A1,Thursday,4103
CH333,NA,CH,B1,Monday,4103
CH333,NA,CH,B1,Tuesday,4103
CH333,NA,CH,B1,Wednesday,4103
CH419,NA,CH,E1,Wednesday,2101
CH419,NA,CH,E1,Thursday,2101
CH419,NA,CH,E1,Friday,2101
CH417,NA,CH,B,Monday,4104
CH417,NA,CH,B,Tuesday,4104
CH417,NA,CH,B,Wednesday,4104
CH418,NA,CH,D,Monday,4104
CH418,NA,CH,D,Thursday,4104
CH418,NA,CH,D,Friday,4104
CH428,NA,CH,E,Wednesday,4104
CH428,NA,CH,E,Thursday,4104
CH428,NA,CH,E,Friday,4104
CH438,NA,CH,C,Monday,4105
CH438,NA,CH,C,Tuesday,4105
CH438,NA,CH,C,Friday,4105
CH411,NA,CH,A,Monday,4006
CH411,NA,CH,A,Tuesday,4006
CH411,NA,CH,A,Wednesday,4006
CH411,NA,CH,A,Thursday,4006
CH421,NA,CH,B,Monday,4006
CH421,NA,CH,B,Tuesday,4006
CH421,NA,CH,B,Wednesday,4006
CH421,NA,CH,B,Friday,4006
CH432,NA,CH,C,Monday,4006
CH432,NA,CH,C,Tuesday,4006
CH432,NA,CH,C,Thursday,4006
CH432,NA,CH,C,Friday,4006
CH433,NA,CH,D,Monday,4006
CH433,NA,CH,D,Wednesday,4006
CH433,NA,CH,D,Thursday,4006
CH433,NA,CH,D,Friday,4006
CH501,NA,CH,F,Monday,3303
CH501,NA,CH,F,Wednesday,3303
CH501,NA,CH,F,Friday,3303
CH615,NA,CH,D1,Monday,4006
CH615,NA,CH,D1,Wednesday,4006
CH615,NA,CH,D1,Thursday,4006
CH615,NA,CH,D1,Friday,4006
CH617,NA,CH,C1,Monday,4006
CH617,NA,CH,C1,Tuesday,4006
CH617,NA,CH,C1,Thursday,4006
CH617,NA,CH,C1,Friday,4006
CH625,NA,CH,B1,Monday,4006
CH625,NA,CH,B1,Tuesday,4006
CH625,NA,CH,B1,Wednesday,4006
CH625,NA,CH,B1,Friday,4006
CH637,NA,CH,A1,Monday,4006
CH637,NA,CH,A1,Tuesday,4006
CH637,NA,CH,A1,Wednesday,4006
CH637,NA,CH,A1,Thursday,4006
CH640,NA,CH,E1,Tuesday,4006
CH640,NA,CH,E1,Wednesday,4006
CH640,NA,CH,E1,Thursday,4006
CH640,NA,CH,E1,Friday,4006
CH603,NA,CH,A,Tuesday,3003
CH603,NA,CH,A,Wednesday,3003
CH603,NA,CH,A,Thursday,3003
CH611,NA,CH,B,Monday,3003
CH611,NA,CH,B,Tuesday,3003
CH611,NA,CH,B,Wednesday,3003
CH621,NA,CH,C,Monday,3003
CH621,NA,CH,C,Tuesday,3003
CH621,NA,CH,C,Friday,3003
CH623,NA,CH,D,Monday,3003
CH623,NA,CH,D,Thursday,3003
CH623,NA,CH,D,Friday,3003
CH630,NA,CH,E,Wednesday,3003
CH630,NA,CH,E,Thursday,3003
CH630,NA,CH,E,Friday,3003
CH643,NA,CH,C,Monday,4005
CH643,NA,CH,C,Tuesday,4005
CH643,NA,CH,C,Friday,4005
MA102,I,MA,C1,Monday,L2
MA102,II,MA,C1,Monday,L3
MA102,III,MA,C,Monday,L2
MA102,IV,MA,C,Monday,L3
MA102,I,MA,C1,Tuesday,L2
MA102,II,MA,C1,Tuesday,L3
MA102,III,MA,C,Tuesday,L2
MA102,IV,MA,C,Tuesday,L3
MA102,I,MA,C1,Thursday,L2
MA102,II,MA,C1,Thursday,L3
MA102,III,MA,C,Thursday,L2
MA102,IV,MA,C,Thursday,L3
MA102,I,MA,C1,Friday,L2
MA102,II,MA,C1,Friday,L3
MA102,III,MA,C,Friday,L2
MA102,IV,MA,C,Friday,L3
ME101,I,ME,B1,Tuesday,L2
ME101,I,ME,B1,Wednesday,L2
ME101,I,ME,B1,Friday,L2
ME221,I,ME,A,Tuesday,1003
ME221,I,ME,A,Wednesday,1003
ME221,I,ME,A,Thursday,1003
ME222,I,ME,B,Monday,1003
ME222,I,ME,B,Tuesday,1003
ME222,I,ME,B,Wednesday,1003
ME223,I,ME,C,Monday,1003
ME223,I,ME,C,Tuesday,1003
ME223,I,ME,C,Friday,1003
ME224,I,ME,D,Monday,1003
ME224,I,ME,D,Thursday,1003
ME224,I,ME,D,Friday,1003
ME221,II,ME,A,Tuesday,1005
ME221,II,ME,A,Wednesday,1005
ME221,II,ME,A,Thursday,1005
ME222,II,ME,B,Monday,1005
ME222,II,ME,B,Tuesday,1005
ME222,II,ME,B,Wednesday,1005
ME223,II,ME,C,Monday,1005
ME223,II,ME,C,Tuesday,1005
ME223,II,ME,C,Friday,1005
ME224,II,ME,D,Monday,1005
ME224,II,ME,D,Thursday,1005
ME224,II,ME,D,Friday,1005
